MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062
1.0,1.0,1991.0,193.0,2020.0,0,0,1,0.0,6,6,32.7,54.4,5.0,2.0,22.9,22.9,9.1,9.8,8,7,6,5,N
1.0,1.0,2020.0,600.0,2017.0,3,1,2,0.0,7,7,32.7,54.4,5.0,2.0,35.1,2103.1,12.1,12.8,7,7,7,7,N
1.0,1.0,1960.0,581.0,2020.0,0,6,1,0.0,6,6,24.5,32.7,1.0,19.0,3.0,6.7,9.1,12.6,N,N,N,5,6
1.0,1.0,1956.0,206.0,2020.0,0,6,1,1990.0,5,9,24.5,32.7,1.0,19.0,2.4,7.3,17.7,18.1,N,N,N,5,5
1.0,1.0,1956.0,206.0,2020.0,0,6,1,1990.0,5,9,24.5,32.7,1.0,19.0,2.7,8.5,17.1,17.5,N,N,N,4,5
1.0,1.0,1950.0,234.0,2020.0,0,6,1,1990.0,6,9,24.5,32.7,1.0,19.0,1.8,9.8,17.1,17.5,N,N,N,6,7
1.0,1.0,1991.0,234.0,2020.0,0,0,1,0.0,6,6,32.7,54.4,1.0,2.0,9.1,27.7,9.1,9.8,7,7,6,5,N
1.0,1.0,2002.0,137.0,2020.0,0,0,2,0.0,7,6,32.7,54.4,5.0,2.0,29.0,65.5,8.9,9.8,7,8,7,6,N
1.0,1.0,2002.0,137.0,2020.0,0,0,2,0.0,7,6,32.7,54.4,5.0,2.0,29.0,65.5,8.9,9.8,7,8,7,6,N
1.0,1.0,1982.0,101.0,2020.0,0,0,1,0.0,6,5,32.7,54.4,5.0,2.0,29.0,114.3,8.4,9.1,8,7,6,6,N
